split,label,class_name,output_path,source_path
train,0,cat,data\train\cat\cat_001.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_166.jpg
train,0,cat,data\train\cat\cat_002.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_191.jpg
train,0,cat,data\train\cat\cat_003.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_138.jpg
train,0,cat,data\train\cat\cat_004.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_201.jpg
train,0,cat,data\train\cat\cat_005.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Egyptian_Mau_120.jpg
train,0,cat,data\train\cat\cat_006.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Egyptian_Mau_122.jpg
train,0,cat,data\train\cat\cat_007.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_146.jpg
train,0,cat,data\train\cat\cat_008.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_152.jpg
train,0,cat,data\train\cat\cat_009.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Birman_184.jpg
train,0,cat,data\train\cat\cat_010.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_175.jpg
train,0,cat,data\train\cat\cat_011.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Birman_143.jpg
train,0,cat,data\train\cat\cat_012.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Russian_Blue_182.jpg
train,0,cat,data\train\cat\cat_013.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_183.jpg
train,0,cat,data\train\cat\cat_014.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_115.jpg
train,0,cat,data\train\cat\cat_015.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_203.jpg
train,0,cat,data\train\cat\cat_016.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Maine_Coon_104.jpg
train,0,cat,data\train\cat\cat_017.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_105.jpg
train,0,cat,data\train\cat\cat_018.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Egyptian_Mau_185.jpg
train,0,cat,data\train\cat\cat_019.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Egyptian_Mau_126.jpg
train,0,cat,data\train\cat\cat_020.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_14.jpg
train,0,cat,data\train\cat\cat_021.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_17.jpg
train,0,cat,data\train\cat\cat_022.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Maine_Coon_163.jpg
train,0,cat,data\train\cat\cat_023.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_175.jpg
train,0,cat,data\train\cat\cat_024.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\British_Shorthair_190.jpg
train,0,cat,data\train\cat\cat_025.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_143.jpg
train,0,cat,data\train\cat\cat_026.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\British_Shorthair_177.jpg
train,0,cat,data\train\cat\cat_027.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_137.jpg
train,0,cat,data\train\cat\cat_028.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_14.jpg
train,0,cat,data\train\cat\cat_029.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_134.jpg
train,0,cat,data\train\cat\cat_030.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_105.jpg
train,0,cat,data\train\cat\cat_031.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_15.jpg
train,0,cat,data\train\cat\cat_032.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Egyptian_Mau_152.jpg
train,0,cat,data\train\cat\cat_033.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Maine_Coon_154.jpg
train,0,cat,data\train\cat\cat_034.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Birman_137.jpg
train,0,cat,data\train\cat\cat_035.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_155.jpg
train,0,cat,data\train\cat\cat_036.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_139.jpg
train,0,cat,data\train\cat\cat_037.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_15.jpg
train,0,cat,data\train\cat\cat_038.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_145.jpg
train,0,cat,data\train\cat\cat_039.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_148.jpg
train,0,cat,data\train\cat\cat_040.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_176.jpg
train,0,cat,data\train\cat\cat_041.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_105.jpg
train,0,cat,data\train\cat\cat_042.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_149.jpg
train,0,cat,data\train\cat\cat_043.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Birman_118.jpg
train,0,cat,data\train\cat\cat_044.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_141.jpg
train,0,cat,data\train\cat\cat_045.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_116.jpg
train,0,cat,data\train\cat\cat_046.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_152.jpg
train,0,cat,data\train\cat\cat_047.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_153.jpg
train,0,cat,data\train\cat\cat_048.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_127.jpg
train,0,cat,data\train\cat\cat_049.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_157.jpg
train,0,cat,data\train\cat\cat_050.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_141.jpg
train,0,cat,data\train\cat\cat_051.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Birman_178.jpg
train,0,cat,data\train\cat\cat_052.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_172.jpg
train,0,cat,data\train\cat\cat_053.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Maine_Coon_144.jpg
train,0,cat,data\train\cat\cat_054.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_157.jpg
train,0,cat,data\train\cat\cat_055.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_129.jpg
train,0,cat,data\train\cat\cat_056.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_117.jpg
train,0,cat,data\train\cat\cat_057.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Birman_179.jpg
train,0,cat,data\train\cat\cat_058.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_130.jpg
train,0,cat,data\train\cat\cat_059.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Russian_Blue_151.jpg
train,0,cat,data\train\cat\cat_060.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_164.jpg
train,0,cat,data\train\cat\cat_061.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_196.jpg
train,0,cat,data\train\cat\cat_062.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_171.jpg
train,0,cat,data\train\cat\cat_063.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_189.jpg
train,0,cat,data\train\cat\cat_064.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Maine_Coon_195.jpg
train,0,cat,data\train\cat\cat_065.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_197.jpg
train,0,cat,data\train\cat\cat_066.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_150.jpg
train,0,cat,data\train\cat\cat_067.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_124.jpg
train,0,cat,data\train\cat\cat_068.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Sphynx_174.jpg
train,0,cat,data\train\cat\cat_069.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_153.jpg
train,0,cat,data\train\cat\cat_070.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_146.jpg
train,0,cat,data\train\cat\cat_071.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_198.jpg
train,0,cat,data\train\cat\cat_072.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_179.jpg
train,0,cat,data\train\cat\cat_073.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Ragdoll_190.jpg
train,0,cat,data\train\cat\cat_074.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_187.jpg
train,0,cat,data\train\cat\cat_075.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_133.jpg
train,0,cat,data\train\cat\cat_076.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_178.jpg
train,0,cat,data\train\cat\cat_077.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_118.jpg
train,0,cat,data\train\cat\cat_078.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bombay_169.jpg
train,0,cat,data\train\cat\cat_079.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Russian_Blue_100.jpg
train,0,cat,data\train\cat\cat_080.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Persian_100.jpg
train,0,cat,data\train\cat\cat_081.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Maine_Coon_217.jpg
train,0,cat,data\train\cat\cat_082.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\British_Shorthair_209.jpg
train,0,cat,data\train\cat\cat_083.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Abyssinian_128.jpg
train,0,cat,data\train\cat\cat_084.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Bengal_177.jpg
train,0,cat,data\train\cat\cat_085.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\British_Shorthair_117.jpg
train,0,cat,data\train\cat\cat_086.jpg,C:\Users\Levi\Desktop\STAT6207_Assignment1_Starter\data\raw\oxford-iiit-pet\images\Siamese_127.jpg
